Date,Close_GOOG,High_GOOG,Low_GOOG,Open_GOOG,Volume_GOOG,MA20,MA50,MA200,DailyReturn
2020-01-02,67.9,67.94,66.62,66.62,"28,132,000.00",67.9,67.9,67.9,0
2020-01-03,67.57,68.16,66.82,66.93,"23,728,000.00",67.74,67.74,67.74,0
2020-01-06,69.24,69.35,67.04,67.04,"34,646,000.00",68.24,68.24,68.24,0.02
2020-01-07,69.19,69.67,69.05,69.42,"30,054,000.00",68.48,68.48,68.48,0
2020-01-08,69.74,70.1,69.07,69.13,"30,560,000.00",68.73,68.73,68.73,0.01
2020-01-09,70.51,70.88,70.03,70.55,"30,018,000.00",69.03,69.03,69.03,0.01
2020-01-10,71,71.26,70.44,70.89,"36,414,000.00",69.31,69.31,69.31,0.01
2020-01-13,71.47,71.54,70.82,71.32,"33,046,000.00",69.58,69.58,69.58,0.01
2020-01-14,71.06,71.6,70.93,71.46,"31,178,000.00",69.74,69.74,69.74,-0.01
2020-01-15,71.47,71.58,71.02,71.02,"25,654,000.00",69.92,69.92,69.92,0.01
2020-01-16,72.09,72.11,71.56,71.88,"23,474,000.00",70.11,70.11,70.11,0.01
2020-01-17,73.52,73.56,72.42,72.65,"47,924,000.00",70.4,70.4,70.4,0.02
2020-01-21,73.72,74.09,73.06,73.45,"40,734,000.00",70.65,70.65,70.65,0
2020-01-22,73.79,74.65,73.74,74.04,"32,216,000.00",70.88,70.88,70.88,0
2020-01-23,73.83,74.27,73.6,73.88,"27,024,000.00",71.07,71.07,71.07,0
2020-01-24,72.84,74.27,72.76,74.17,"35,692,000.00",71.18,71.18,71.18,-0.01
2020-01-27,71.21,71.41,70.58,71.06,"35,104,000.00",71.18,71.18,71.18,-0.02
2020-01-28,72.13,72.31,71.14,71.66,"31,548,000.00",71.24,71.24,71.24,0.01
2020-01-29,72.44,72.77,71.85,72.44,"21,554,000.00",71.3,71.3,71.3,0
2020-01-30,72.3,72.37,71.33,71.51,"26,788,000.00",71.35,71.35,71.35,0
2020-01-31,71.22,73.01,70.94,72.95,"48,344,000.00",71.52,71.34,71.34,-0.01
2020-02-03,73.79,73.99,72.45,72.6,"60,736,000.00",71.83,71.46,71.46,0.04
2020-02-04,71.86,72.98,70.83,72.36,"78,660,000.00",71.96,71.47,71.47,-0.03
